Statement,Header,Field Name,Field Value
Statement,Data,BrokerName,Interactive Brokers LLC
Statement,Data,BrokerAddress,"Two Pickwick Plaza, Greenwich, CT 06830"
Statement,Data,Title,Activity Statement
Statement,Data,Period,"January 1, 2024 - December 31, 2024"
Statement,Data,WhenGenerated,"2025-02-15, 21:07:44 EST"
Open Positions,Header,DataDiscriminator,Asset Category,Currency,Symbol,Open,Quantity,Mult,Cost Price,Cost Basis,Close Price,Value,Unrealized P/L,Code
Open Positions,Data,Summary,Stocks,USD,ABBV,-,100,1,196.10766216,19610.766216,177.7,17770,-1840.766216,
Open Positions,Data,Lot,Stocks,USD,ABBV,"2024-11-08, 16:20:00",100,,196.10766216,19610.766216,177.7,17770,-1840.766216,ST
Open Positions,Data,Summary,Stocks,USD,ABT,-,-300,1,117.59571456,-35278.714368,113.11,-33933,1345.714368,
Open Positions,Data,Lot,Stocks,USD,ABT,"2024-11-08, 16:20:00",-300,,117.59571456,-35278.714368,113.11,-33933,1345.714368,ST
Open Positions,Data,Summary,Stocks,USD,ACN,-,200,1,348.22966583,69645.933166,351.79,70358,712.066834,
Open Positions,Data,Lot,Stocks,USD,ACN,"2024-11-01, 16:20:00",200,,348.22966583,69645.933166,351.79,70358,712.066834,ST
Open Positions,Data,Summary,Stocks,USD,ADI,-,100,1,230.05328689,23005.328689,212.46,21246,-1759.328689,
Open Positions,Data,Lot,Stocks,USD,ADI,"2024-11-08, 16:20:00",100,,230.05328689,23005.328689,212.46,21246,-1759.328689,ST
Open Positions,Data,Summary,Stocks,USD,ADP,-,100,1,293.75330216,29375.330216,292.73,29273,-102.330216,
Open Positions,Data,Lot,Stocks,USD,ADP,"2024-11-08, 16:20:00",100,,293.75330216,29375.330216,292.73,29273,-102.330216,ST
Open Positions,Data,Summary,Stocks,USD,BAC,-,100,1,38.61153582,3861.153582,43.95,4395,533.846418,
Open Positions,Data,Lot,Stocks,USD,BAC,"2024-09-06, 20:20:00",100,,38.61153582,3861.153582,43.95,4395,533.846418,ST
Open Positions,Data,Summary,Stocks,USD,C,-,100,1,66.50681815,6650.681815,70.39,7039,388.318185,
Open Positions,Data,Lot,Stocks,USD,C,"2024-11-08, 16:20:00",100,,66.50681815,6650.681815,70.39,7039,388.318185,ST
Open Positions,Data,Summary,Stocks,USD,CAH,-,200,1,119.00357302,23800.714604,118.27,23654,-146.714604,
Open Positions,Data,Lot,Stocks,USD,CAH,"2024-11-08, 16:20:00",200,,119.00357302,23800.714604,118.27,23654,-146.714604,ST
Open Positions,Data,Summary,Stocks,USD,CCL,-,400,1,22.423528493,8969.411397,24.92,9968,998.588603,
Open Positions,Data,Lot,Stocks,USD,CCL,"2024-11-08, 16:20:00",400,,22.423528493,8969.411397,24.92,9968,998.588603,ST
Open Positions,Data,Summary,Stocks,USD,CF,-,100,1,84.39330216,8439.330216,85.32,8532,92.669784,
Open Positions,Data,Lot,Stocks,USD,CF,"2024-11-08, 16:20:00",100,,84.39330216,8439.330216,85.32,8532,92.669784,ST
Open Positions,Data,Summary,Stocks,USD,CHTR,-,100,1,385.32148915,38532.148915,342.77,34277,-4255.148915,
Open Positions,Data,Lot,Stocks,USD,CHTR,"2024-11-08, 16:20:00",100,,385.32148915,38532.148915,342.77,34277,-4255.148915,ST
Open Positions,Data,Summary,Stocks,USD,CMCSA,-,600,1,44.497580158,26698.548095,37.53,22518,-4180.548095,
Open Positions,Data,Lot,Stocks,USD,CMCSA,"2024-11-08, 16:20:00",600,,44.497580158,26698.548095,37.53,22518,-4180.548095,ST
Open Positions,Data,Summary,Stocks,USD,DECK,-,100,1,172.05330216,17205.330216,203.09,20309,3103.669784,
Open Positions,Data,Lot,Stocks,USD,DECK,"2024-11-08, 16:20:00",100,,172.05330216,17205.330216,203.09,20309,3103.669784,ST
Open Positions,Data,Summary,Stocks,USD,DELL,-,100,1,131.17766215,13117.766215,115.24,11524,-1593.766215,
Open Positions,Data,Lot,Stocks,USD,DELL,"2024-11-01, 16:20:00",100,,131.17766215,13117.766215,115.24,11524,-1593.766215,ST
Open Positions,Data,Summary,Stocks,USD,DLTR,-,100,1,65.05894084,6505.894084,74.94,7494,988.105916,
Open Positions,Data,Lot,Stocks,USD,DLTR,"2024-09-06, 20:20:00",100,,65.05894084,6505.894084,74.94,7494,988.105916,ST
Open Positions,Data,Summary,Stocks,USD,DXCM,-,-200,1,69.387971485,-13877.594297,77.77,-15554,-1676.405703,
Open Positions,Data,Lot,Stocks,USD,DXCM,"2024-11-08, 16:20:00",-200,,69.387971485,-13877.594297,77.77,-15554,-1676.405703,ST
Open Positions,Data,Summary,Stocks,USD,EA,-,100,1,143.38285279,14338.285279,146.3,14630,291.714721,
Open Positions,Data,Lot,Stocks,USD,EA,"2024-09-06, 20:20:00",100,,143.38285279,14338.285279,146.3,14630,291.714721,ST
Open Positions,Data,Summary,Stocks,USD,EBAY,-,500,1,58.203003152,29101.501576,61.95,30975,1873.498424,
Open Positions,Data,Lot,Stocks,USD,EBAY,"2024-11-08, 16:20:00",500,,58.203003152,29101.501576,61.95,30975,1873.498424,ST
Open Positions,Data,Summary,Stocks,USD,EQT,-,100,1,39.14766216,3914.766216,46.11,4611,696.233784,
Open Positions,Data,Lot,Stocks,USD,EQT,"2024-11-08, 16:20:00",100,,39.14766216,3914.766216,46.11,4611,696.233784,ST
Open Positions,Data,Summary,Stocks,USD,F,-,1000,1,10.385003155,10385.003155,9.9,9900,-485.003155,
Open Positions,Data,Lot,Stocks,USD,F,"2024-11-08, 16:20:00",1000,,10.385003155,10385.003155,9.9,9900,-485.003155,ST
Open Positions,Data,Summary,Stocks,USD,FDX,-,100,1,280.24082315,28024.082315,281.33,28133,108.917685,
Open Positions,Data,Lot,Stocks,USD,FDX,"2024-11-08, 16:20:00",100,,280.24082315,28024.082315,281.33,28133,108.917685,ST
Open Positions,Data,Summary,Stocks,USD,FI,-,200,1,202.589651195,40517.930239,205.42,41084,566.069761,
Open Positions,Data,Lot,Stocks,USD,FI,"2024-11-08, 16:20:00",200,,202.589651195,40517.930239,205.42,41084,566.069761,ST
Open Positions,Data,Summary,Stocks,USD,FOXA,-,200,1,44.4951295,8899.0259,48.58,9716,816.9741,
Open Positions,Data,Lot,Stocks,USD,FOXA,"2024-11-15, 16:20:00",200,,44.4951295,8899.0259,48.58,9716,816.9741,ST
Open Positions,Data,Summary,Stocks,USD,GEV,-,100,1,304.43330216,30443.330216,328.93,32893,2449.669784,
Open Positions,Data,Lot,Stocks,USD,GEV,"2024-11-08, 16:20:00",100,,304.43330216,30443.330216,328.93,32893,2449.669784,ST
Open Positions,Data,Summary,Stocks,USD,GM,-,100,1,44.35888238,4435.888238,53.27,5327,891.111762,
Open Positions,Data,Lot,Stocks,USD,GM,"2024-09-13, 20:20:00",100,,44.35888238,4435.888238,53.27,5327,891.111762,ST
Open Positions,Data,Summary,Stocks,USD,HPQ,-,800,1,37.407652029,29926.121623,32.63,26104,-3822.121623,
Open Positions,Data,Lot,Stocks,USD,HPQ,"2024-11-08, 16:20:00",800,,37.407652029,29926.121623,32.63,26104,-3822.121623,ST
Open Positions,Data,Summary,Stocks,USD,HUM,-,100,1,280.09330216,28009.330216,253.71,25371,-2638.330216,
Open Positions,Data,Lot,Stocks,USD,HUM,"2024-11-08, 16:20:00",100,,280.09330216,28009.330216,253.71,25371,-2638.330216,ST
Open Positions,Data,Summary,Stocks,USD,ISRG,-,100,1,248.4515212,24845.15212,521.96,52196,27350.84788,
Open Positions,Data,Lot,Stocks,USD,ISRG,"2022-05-06, 20:20:00",100,,248.4515212,24845.15212,521.96,52196,27350.84788,LT
Open Positions,Data,Summary,Stocks,USD,KEY,-,700,1,18.009530727,12606.671509,17.14,11998,-608.671509,
Open Positions,Data,Lot,Stocks,USD,KEY,"2024-11-08, 16:20:00",700,,18.009530727,12606.671509,17.14,11998,-608.671509,ST
Open Positions,Data,Summary,Stocks,USD,LVS,-,-400,1,51.698370903,-20679.348361,51.36,-20544,135.348361,
Open Positions,Data,Lot,Stocks,USD,LVS,"2024-11-08, 16:20:00",-400,,51.698370903,-20679.348361,51.36,-20544,135.348361,ST
Open Positions,Data,Summary,Stocks,USD,MCK,-,100,1,512.45373815,51245.373815,569.91,56991,5745.626185,
Open Positions,Data,Lot,Stocks,USD,MCK,"2024-11-08, 16:20:00",100,,512.45373815,51245.373815,569.91,56991,5745.626185,ST
Open Positions,Data,Summary,Stocks,USD,MMM,-,200,1,130.523629155,26104.725831,129.09,25818,-286.725831,
Open Positions,Data,Lot,Stocks,USD,MMM,"2024-11-08, 16:20:00",200,,130.523629155,26104.725831,129.09,25818,-286.725831,ST
Open Positions,Data,Summary,Stocks,USD,MO,-,700,1,55.15009887,38605.069209,52.29,36603,-2002.069209,
Open Positions,Data,Lot,Stocks,USD,MO,"2024-11-08, 16:20:00",700,,55.15009887,38605.069209,52.29,36603,-2002.069209,ST
Open Positions,Data,Summary,Stocks,USD,MOS,-,500,1,27.891678354,13945.839177,24.58,12290,-1655.839177,
Open Positions,Data,Lot,Stocks,USD,MOS,"2024-11-08, 16:20:00",500,,27.891678354,13945.839177,24.58,12290,-1655.839177,ST
Open Positions,Data,Summary,Stocks,USD,MU,-,100,1,109.94766215,10994.766215,84.16,8416,-2578.766215,
Open Positions,Data,Lot,Stocks,USD,MU,"2024-11-08, 16:20:00",100,,109.94766215,10994.766215,84.16,8416,-2578.766215,ST
Open Positions,Data,Summary,Stocks,USD,NCLH,-,900,1,26.848573267,24163.71594,25.73,23157,-1006.71594,
Open Positions,Data,Lot,Stocks,USD,NCLH,"2024-11-08, 16:20:00",900,,26.848573267,24163.71594,25.73,23157,-1006.71594,ST
Open Positions,Data,Summary,Stocks,USD,NEM,-,-900,1,45.592212973,-41032.991676,37.22,-33498,7534.991676,
Open Positions,Data,Lot,Stocks,USD,NEM,"2024-11-08, 16:20:00",-900,,45.592212973,-41032.991676,37.22,-33498,7534.991676,ST
Open Positions,Data,Summary,Stocks,USD,NKE,-,-200,1,75.7297964,-15145.95928,75.67,-15134,11.95928,
Open Positions,Data,Lot,Stocks,USD,NKE,"2024-11-08, 16:20:00",-200,,75.7297964,-15145.95928,75.67,-15134,11.95928,ST
Open Positions,Data,Summary,Stocks,USD,NVDA,-,100,1,144.09147716,14409.147716,134.29,13429,-980.147716,
Open Positions,Data,Lot,Stocks,USD,NVDA,"2024-11-08, 16:20:00",100,,144.09147716,14409.147716,134.29,13429,-980.147716,ST
Open Positions,Data,Summary,Stocks,USD,PSX,-,200,1,123.96768941,24793.537882,113.93,22786,-2007.537882,
Open Positions,Data,Lot,Stocks,USD,PSX,"2024-11-08, 16:20:00",200,,123.96768941,24793.537882,113.93,22786,-2007.537882,ST
Open Positions,Data,Summary,Stocks,USD,QCOM,-,100,1,177.97766216,17797.766216,153.62,15362,-2435.766216,
Open Positions,Data,Lot,Stocks,USD,QCOM,"2024-11-08, 16:20:00",100,,177.97766216,17797.766216,153.62,15362,-2435.766216,ST
Open Positions,Data,Summary,Stocks,USD,RTX,-,300,1,123.890368487,37167.110546,115.72,34716,-2451.110546,
Open Positions,Data,Lot,Stocks,USD,RTX,"2024-11-08, 16:20:00",300,,123.890368487,37167.110546,115.72,34716,-2451.110546,ST
Open Positions,Data,Summary,Stocks,USD,STX,-,200,1,102.32338583,20464.677166,86.31,17262,-3202.677166,
Open Positions,Data,Lot,Stocks,USD,STX,"2024-11-08, 16:20:00",200,,102.32338583,20464.677166,86.31,17262,-3202.677166,ST
Open Positions,Data,Summary,Stocks,USD,T,-,800,1,22.349733155,17879.786524,22.77,18216,336.213476,
Open Positions,Data,Lot,Stocks,USD,T,"2024-11-08, 16:20:00",800,,22.349733155,17879.786524,22.77,18216,336.213476,ST
Open Positions,Data,Summary,Stocks,USD,TMUS,-,100,1,225.95766215,22595.766215,220.73,22073,-522.766215,
Open Positions,Data,Lot,Stocks,USD,TMUS,"2024-11-08, 16:20:00",100,,225.95766215,22595.766215,220.73,22073,-522.766215,ST
Open Positions,Data,Summary,Stocks,USD,TXN,-,200,1,213.383645825,42676.729165,187.51,37502,-5174.729165,
Open Positions,Data,Lot,Stocks,USD,TXN,"2024-11-08, 16:20:00",200,,213.383645825,42676.729165,187.51,37502,-5174.729165,ST
Open Positions,Data,Summary,Stocks,USD,UBER,-,200,1,72.573645825,14514.729165,60.32,12064,-2450.729165,
Open Positions,Data,Lot,Stocks,USD,UBER,"2024-11-08, 16:20:00",200,,72.573645825,14514.729165,60.32,12064,-2450.729165,ST
Open Positions,Data,Summary,Stocks,USD,UNH,-,100,1,581.1776469,58117.76469,505.86,50586,-7531.76469,
Open Positions,Data,Lot,Stocks,USD,UNH,"2024-11-08, 16:20:00",100,,581.1776469,58117.76469,505.86,50586,-7531.76469,ST
Open Positions,Data,Summary,Stocks,USD,USB,-,500,1,50.007868956,25003.934478,47.83,23915,-1088.934478,
Open Positions,Data,Lot,Stocks,USD,USB,"2024-11-08, 16:20:00",500,,50.007868956,25003.934478,47.83,23915,-1088.934478,ST
Open Positions,Data,Summary,Stocks,USD,WDC,-,300,1,69.587298817,20876.189645,59.63,17889,-2987.189645,
Open Positions,Data,Lot,Stocks,USD,WDC,"2024-11-08, 16:20:00",300,,69.587298817,20876.189645,59.63,17889,-2987.189645,ST
Open Positions,Total,,Stocks,USD,,,,,,916207.447641,,911707,-4500.447641,
Open Positions,Header,DataDiscriminator,Asset Category,Currency,Symbol,Open,Quantity,Mult,Cost Price,Cost Basis,Close Price,Value,Unrealized P/L,Code
Open Positions,Data,Summary,Equity and Index Options,USD,ABBV 03JAN25 185 C,-,-1,100,0.41130281,-41.130281,0.025,-2.5,38.630281,
Open Positions,Data,Lot,Equity and Index Options,USD,ABBV 03JAN25 185 C,"2024-12-24, 09:30:53",-1,,0.41130281,-41.130281,0.025,-2.5,38.630281,ST
Open Positions,Data,Summary,Equity and Index Options,USD,ACN 03JAN25 372.5 C,-,-2,100,0.95298397,-190.596794,0.0135,-2.7,187.896794,
Open Positions,Data,Lot,Equity and Index Options,USD,ACN 03JAN25 372.5 C,"2024-12-24, 09:30:02",-1,,0.94946175,-94.946175,0.0135,-1.35,93.596175,ST
Open Positions,Data,Lot,Equity and Index Options,USD,ACN 03JAN25 372.5 C,"2024-12-24, 09:30:02",-1,,0.95650619,-95.650619,0.0135,-1.35,94.300619,ST
Open Positions,Data,Summary,Equity and Index Options,USD,ADI 03JAN25 225 C,-,-1,100,0.65729053,-65.729053,0.0111,-1.11,64.619053,
Open Positions,Data,Lot,Equity and Index Options,USD,ADI 03JAN25 225 C,"2024-12-24, 09:30:03",-1,,0.65729053,-65.729053,0.0111,-1.11,64.619053,ST
Open Positions,Data,Summary,Equity and Index Options,USD,C 03JAN25 73 C,-,-1,100,0.18869347,-18.869347,0.035,-3.5,15.369347,
Open Positions,Data,Lot,Equity and Index Options,USD,C 03JAN25 73 C,"2024-12-24, 10:45:00",-1,,0.18869347,-18.869347,0.035,-3.5,15.369347,ST
Open Positions,Data,Summary,Equity and Index Options,USD,EQT 03JAN25 46.5 C,-,-1,100,0.19130947,-19.130947,0.4308,-43.08,-23.949053,
Open Positions,Data,Lot,Equity and Index Options,USD,EQT 03JAN25 46.5 C,"2024-12-24, 09:30:18",-1,,0.19130947,-19.130947,0.4308,-43.08,-23.949053,ST
Open Positions,Data,Summary,Equity and Index Options,USD,FDX 03JAN25 280 C,-,-1,100,0.7786756,-77.86756,3.2642,-326.42,-248.55244,
Open Positions,Data,Lot,Equity and Index Options,USD,FDX 03JAN25 280 C,"2024-12-24, 12:51:18",-1,,0.7786756,-77.86756,3.2642,-326.42,-248.55244,ST
Open Positions,Data,Summary,Equity and Index Options,USD,FI 03JAN25 215 C,-,-2,100,0.371022315,-74.204463,0.0433,-8.66,65.544463,
Open Positions,Data,Lot,Equity and Index Options,USD,FI 03JAN25 215 C,"2024-12-24, 12:59:19",-2,,0.371022315,-74.204463,0.0433,-8.66,65.544463,ST
Open Positions,Data,Summary,Equity and Index Options,USD,NVDA 03JAN25 150 C,-,-1,100,0.61314975,-61.314975,0.0372,-3.72,57.594975,
Open Positions,Data,Lot,Equity and Index Options,USD,NVDA 03JAN25 150 C,"2024-12-24, 09:30:06",-1,,0.61314975,-61.314975,0.0372,-3.72,57.594975,ST
Open Positions,Data,Summary,Equity and Index Options,USD,PSX 03JAN25 116 C,-,-2,100,0.35302287,-70.604574,0.4918,-98.36,-27.755426,
Open Positions,Data,Lot,Equity and Index Options,USD,PSX 03JAN25 116 C,"2024-12-24, 10:15:59",-2,,0.35302287,-70.604574,0.4918,-98.36,-27.755426,ST
