Statement,Header,Field Name,Field Value
Statement,Data,BrokerName,Interactive Brokers LLC
Statement,Data,BrokerAddress,"Two Pickwick Plaza, Greenwich, CT 06830"
Statement,Data,Title,Activity Statement
Statement,Data,Period,"January 1, 2025 - February 14, 2025"
Statement,Data,WhenGenerated,"2025-02-15, 21:08:14 EST"
Open Positions,Header,DataDiscriminator,Asset Category,Currency,Symbol,Open,Quantity,Mult,Cost Price,Cost Basis,Close Price,Value,Unrealized P/L,Code
Open Positions,Data,Summary,Stocks,USD,ABT,-,-300,1,117.59571456,-35278.714368,130.61,-39183,-3904.285632,
Open Positions,Data,Lot,Stocks,USD,ABT,"2024-11-08, 16:20:00",-300,,117.59571456,-35278.714368,130.61,-39183,-3904.285632,ST
Open Positions,Data,Summary,Stocks,USD,ADP,-,100,1,293.75330216,29375.330216,308.15,30815,1439.669784,
Open Positions,Data,Lot,Stocks,USD,ADP,"2024-11-08, 16:20:00",100,,293.75330216,29375.330216,308.15,30815,1439.669784,ST
Open Positions,Data,Summary,Stocks,USD,CF,-,100,1,84.39330216,8439.330216,82.48,8248,-191.330216,
Open Positions,Data,Lot,Stocks,USD,CF,"2024-11-08, 16:20:00",100,,84.39330216,8439.330216,82.48,8248,-191.330216,ST
Open Positions,Data,Summary,Stocks,USD,CHTR,-,100,1,385.32148915,38532.148915,360.27,36027,-2505.148915,
Open Positions,Data,Lot,Stocks,USD,CHTR,"2024-11-08, 16:20:00",100,,385.32148915,38532.148915,360.27,36027,-2505.148915,ST
Open Positions,Data,Summary,Stocks,USD,CMCSA,-,600,1,44.497580158,26698.548095,35.39,21234,-5464.548095,
Open Positions,Data,Lot,Stocks,USD,CMCSA,"2024-11-08, 16:20:00",600,,44.497580158,26698.548095,35.39,21234,-5464.548095,ST
Open Positions,Data,Summary,Stocks,USD,DECK,-,100,1,172.05330216,17205.330216,155.07,15507,-1698.330216,
Open Positions,Data,Lot,Stocks,USD,DECK,"2024-11-08, 16:20:00",100,,172.05330216,17205.330216,155.07,15507,-1698.330216,ST
Open Positions,Data,Summary,Stocks,USD,DELL,-,100,1,131.17766215,13117.766215,114.38,11438,-1679.766215,
Open Positions,Data,Lot,Stocks,USD,DELL,"2024-11-01, 16:20:00",100,,131.17766215,13117.766215,114.38,11438,-1679.766215,ST
Open Positions,Data,Summary,Stocks,USD,DLTR,-,100,1,65.05894084,6505.894084,71.56,7156,650.105916,
Open Positions,Data,Lot,Stocks,USD,DLTR,"2024-09-06, 20:20:00",100,,65.05894084,6505.894084,71.56,7156,650.105916,ST
Open Positions,Data,Summary,Stocks,USD,DXCM,-,-200,1,69.387971485,-13877.594297,89.07,-17814,-3936.405703,
Open Positions,Data,Lot,Stocks,USD,DXCM,"2024-11-08, 16:20:00",-200,,69.387971485,-13877.594297,89.07,-17814,-3936.405703,ST
Open Positions,Data,Summary,Stocks,USD,EBAY,-,500,1,58.203003152,29101.501576,69.9,34950,5848.498424,
Open Positions,Data,Lot,Stocks,USD,EBAY,"2024-11-08, 16:20:00",500,,58.203003152,29101.501576,69.9,34950,5848.498424,ST
Open Positions,Data,Summary,Stocks,USD,F,-,1000,1,10.385003155,10385.003155,9.48,9480,-905.003155,
Open Positions,Data,Lot,Stocks,USD,F,"2024-11-08, 16:20:00",1000,,10.385003155,10385.003155,9.48,9480,-905.003155,ST
Open Positions,Data,Summary,Stocks,USD,FDX,-,100,1,280.24082315,28024.082315,267.77,26777,-1247.082315,
Open Positions,Data,Lot,Stocks,USD,FDX,"2024-11-08, 16:20:00",100,,280.24082315,28024.082315,267.77,26777,-1247.082315,ST
Open Positions,Data,Summary,Stocks,USD,GM,-,100,1,44.35888238,4435.888238,48.37,4837,401.111762,
Open Positions,Data,Lot,Stocks,USD,GM,"2024-09-13, 20:20:00",100,,44.35888238,4435.888238,48.37,4837,401.111762,ST
Open Positions,Data,Summary,Stocks,USD,HPQ,-,800,1,37.407652029,29926.121623,33.64,26912,-3014.121623,
Open Positions,Data,Lot,Stocks,USD,HPQ,"2024-11-08, 16:20:00",800,,37.407652029,29926.121623,33.64,26912,-3014.121623,ST
Open Positions,Data,Summary,Stocks,USD,HUM,-,100,1,280.09330216,28009.330216,253.83,25383,-2626.330216,
Open Positions,Data,Lot,Stocks,USD,HUM,"2024-11-08, 16:20:00",100,,280.09330216,28009.330216,253.83,25383,-2626.330216,ST
Open Positions,Data,Summary,Stocks,USD,KEY,-,700,1,18.009530727,12606.671509,17.72,12404,-202.671509,
Open Positions,Data,Lot,Stocks,USD,KEY,"2024-11-08, 16:20:00",700,,18.009530727,12606.671509,17.72,12404,-202.671509,ST
Open Positions,Data,Summary,Stocks,USD,MCK,-,100,1,512.45373815,51245.373815,593.69,59369,8123.626185,
Open Positions,Data,Lot,Stocks,USD,MCK,"2024-11-08, 16:20:00",100,,512.45373815,51245.373815,593.69,59369,8123.626185,ST
Open Positions,Data,Summary,Stocks,USD,MO,-,700,1,55.15009887,38605.069209,53.29,37303,-1302.069209,
Open Positions,Data,Lot,Stocks,USD,MO,"2024-11-08, 16:20:00",700,,55.15009887,38605.069209,53.29,37303,-1302.069209,ST
Open Positions,Data,Summary,Stocks,USD,MOS,-,500,1,27.891678354,13945.839177,26.51,13255,-690.839177,
Open Positions,Data,Lot,Stocks,USD,MOS,"2024-11-08, 16:20:00",500,,27.891678354,13945.839177,26.51,13255,-690.839177,ST
Open Positions,Data,Summary,Stocks,USD,NEM,-,-900,1,45.592212973,-41032.991676,46.54,-41886,-853.008324,
Open Positions,Data,Lot,Stocks,USD,NEM,"2024-11-08, 16:20:00",-900,,45.592212973,-41032.991676,46.54,-41886,-853.008324,ST
Open Positions,Data,Summary,Stocks,USD,NVDA,-,100,1,144.09147716,14409.147716,138.85,13885,-524.147716,
Open Positions,Data,Lot,Stocks,USD,NVDA,"2024-11-08, 16:20:00",100,,144.09147716,14409.147716,138.85,13885,-524.147716,ST
Open Positions,Data,Summary,Stocks,USD,QCOM,-,100,1,177.97766216,17797.766216,172.23,17223,-574.766216,
Open Positions,Data,Lot,Stocks,USD,QCOM,"2024-11-08, 16:20:00",100,,177.97766216,17797.766216,172.23,17223,-574.766216,ST
Open Positions,Data,Summary,Stocks,USD,TXN,-,200,1,213.383645825,42676.729165,183.03,36606,-6070.729165,
Open Positions,Data,Lot,Stocks,USD,TXN,"2024-11-08, 16:20:00",200,,213.383645825,42676.729165,183.03,36606,-6070.729165,ST
Open Positions,Data,Summary,Stocks,USD,USB,-,500,1,50.007868956,25003.934478,47.75,23875,-1128.934478,
Open Positions,Data,Lot,Stocks,USD,USB,"2024-11-08, 16:20:00",500,,50.007868956,25003.934478,47.75,23875,-1128.934478,ST
Open Positions,Data,Summary,Stocks,USD,WDC,-,300,1,69.587298817,20876.189645,68.39,20517,-359.189645,
Open Positions,Data,Lot,Stocks,USD,WDC,"2024-11-08, 16:20:00",300,,69.587298817,20876.189645,68.39,20517,-359.189645,ST
Open Positions,Total,,Stocks,USD,,,,,,416733.695669,,394318,-22415.695669,
Open Positions,Header,DataDiscriminator,Asset Category,Currency,Symbol,Open,Quantity,Mult,Cost Price,Cost Basis,Close Price,Value,Unrealized P/L,Code
Open Positions,Data,Summary,Equity and Index Options,USD,ABBV 28FEB25 165 P,-,1,100,1.66616122,166.616122,0.0003,0.03,-166.586122,
Open Positions,Data,Lot,Equity and Index Options,USD,ABBV 28FEB25 165 P,"2025-01-27, 11:22:06",1,,1.66616122,166.616122,0.0003,0.03,-166.586122,ST
Open Positions,Data,Summary,Equity and Index Options,USD,ABT 21FEB25 128 P,-,-3,100,0.56226509,-168.679527,0.3948,-118.44,50.239527,
Open Positions,Data,Lot,Equity and Index Options,USD,ABT 21FEB25 128 P,"2025-02-11, 09:59:27",-1,,0.55845009,-55.845009,0.3948,-39.48,16.365009,ST
Open Positions,Data,Lot,Equity and Index Options,USD,ABT 21FEB25 128 P,"2025-02-11, 09:59:27",-2,,0.56417259,-112.834518,0.3948,-78.96,33.874518,ST
Open Positions,Data,Summary,Equity and Index Options,USD,ABT 07MAR25 132 C,-,3,100,1.644962227,493.488668,1.6959,508.77,15.281332,
Open Positions,Data,Lot,Equity and Index Options,USD,ABT 07MAR25 132 C,"2025-01-30, 09:33:48",3,,1.644962227,493.488668,1.6959,508.77,15.281332,ST
Open Positions,Data,Summary,Equity and Index Options,USD,ACN 21MAR25 330 P,-,-1,100,1.09933403,-109.933403,0.8275,-82.75,27.183403,
Open Positions,Data,Lot,Equity and Index Options,USD,ACN 21MAR25 330 P,"2025-02-11, 09:59:34",-1,,1.09933403,-109.933403,0.8275,-82.75,27.183403,ST
Open Positions,Data,Summary,Equity and Index Options,USD,ADBE 21FEB25 360 P,-,-3,100,0.270239217,-81.071765,0.0001,-0.03,81.041765,
Open Positions,Data,Lot,Equity and Index Options,USD,ADBE 21FEB25 360 P,"2025-01-22, 09:30:02",-1,,0.14846252,-14.846252,0.0001,-0.01,14.836252,ST
Open Positions,Data,Lot,Equity and Index Options,USD,ADBE 21FEB25 360 P,"2025-01-21, 09:30:01",-1,,0.27845858,-27.845858,0.0001,-0.01,27.835858,ST
Open Positions,Data,Lot,Equity and Index Options,USD,ADBE 21FEB25 360 P,"2025-01-17, 15:01:01",-1,,0.38379655,-38.379655,0.0001,-0.01,38.369655,ST
Open Positions,Data,Summary,Equity and Index Options,USD,ADP 21FEB25 312.5 C,-,-1,100,0.94933858,-94.933858,0.7453,-74.53,20.403858,
Open Positions,Data,Lot,Equity and Index Options,USD,ADP 21FEB25 312.5 C,"2025-02-13, 13:59:21",-1,,0.94933858,-94.933858,0.7453,-74.53,20.403858,ST
Open Positions,Data,Summary,Equity and Index Options,USD,ADP 28FEB25 285 P,-,1,100,2.72278222,272.278222,0.6879,68.79,-203.488222,
Open Positions,Data,Lot,Equity and Index Options,USD,ADP 28FEB25 285 P,"2025-01-27, 11:36:41",1,,2.72278222,272.278222,0.6879,68.79,-203.488222,ST
Open Positions,Data,Summary,Equity and Index Options,USD,ADSK 21FEB25 240 P,-,-3,100,0.205909333,-61.7728,0.0001,-0.03,61.7428,
Open Positions,Data,Lot,Equity and Index Options,USD,ADSK 21FEB25 240 P,"2025-01-22, 09:32:22",-1,,0.15846221,-15.846221,0.0001,-0.01,15.836221,ST
Open Positions,Data,Lot,Equity and Index Options,USD,ADSK 21FEB25 240 P,"2025-01-21, 09:30:00",-1,,0.24935979,-24.935979,0.0001,-0.01,24.925979,ST
Open Positions,Data,Lot,Equity and Index Options,USD,ADSK 21FEB25 240 P,"2025-01-17, 15:01:01",-1,,0.209906,-20.9906,0.0001,-0.01,20.9806,ST
Open Positions,Data,Summary,Equity and Index Options,USD,AMAT 28FEB25 140 P,-,-1,100,0.83855061,-83.855061,0.1112,-11.12,72.735061,
Open Positions,Data,Lot,Equity and Index Options,USD,AMAT 28FEB25 140 P,"2025-01-27, 11:26:40",-1,,0.83855061,-83.855061,0.1112,-11.12,72.735061,ST
Open Positions,Data,Summary,Equity and Index Options,USD,BIIB 21MAR25 115 P,-,-1,100,1.09933403,-109.933403,0.45,-45,64.933403,
Open Positions,Data,Lot,Equity and Index Options,USD,BIIB 21MAR25 115 P,"2025-02-12, 09:33:19",-1,,1.09933403,-109.933403,0.45,-45,64.933403,ST
Open Positions,Data,Summary,Equity and Index Options,USD,BKNG 21FEB25 4100 P,-,-1,100,9.4669004,-946.69004,1.7046,-170.46,776.23004,
Open Positions,Data,Lot,Equity and Index Options,USD,BKNG 21FEB25 4100 P,"2025-01-21, 10:17:08",-1,,9.4669004,-946.69004,1.7046,-170.46,776.23004,ST
Open Positions,Data,Summary,Equity and Index Options,USD,BLK 14MAR25 870 P,-,-1,100,1.5493204,-154.93204,2.0641,-206.41,-51.47796,
Open Positions,Data,Lot,Equity and Index Options,USD,BLK 14MAR25 870 P,"2025-02-10, 09:30:01",-1,,1.5493204,-154.93204,2.0641,-206.41,-51.47796,ST
Open Positions,Data,Summary,Equity and Index Options,USD,CCL 28FEB25 23.5 P,-,4,100,0.337687225,135.07489,0.08,32,-103.07489,
Open Positions,Data,Lot,Equity and Index Options,USD,CCL 28FEB25 23.5 P,"2025-01-28, 09:30:03",2,,0.337687225,67.537445,0.08,16,-51.537445,ST
Open Positions,Data,Lot,Equity and Index Options,USD,CCL 28FEB25 23.5 P,"2025-01-28, 09:30:03",2,,0.337687225,67.537445,0.08,16,-51.537445,ST
Open Positions,Data,Summary,Equity and Index Options,USD,CF 14FEB25 87 C,-,-1,100,0.94933858,-94.933858,0,0,94.933858,
Open Positions,Data,Lot,Equity and Index Options,USD,CF 14FEB25 87 C,"2025-02-10, 10:04:17",-1,,0.94933858,-94.933858,0,0,94.933858,ST
Open Positions,Data,Summary,Equity and Index Options,USD,CF 28FEB25 85 P,-,1,100,1.65060223,165.060223,4.4921,449.21,284.149777,
Open Positions,Data,Lot,Equity and Index Options,USD,CF 28FEB25 85 P,"2025-01-27, 09:30:02",1,,1.65060223,165.060223,4.4921,449.21,284.149777,ST
Open Positions,Data,Summary,Equity and Index Options,USD,CHTR 14FEB25 355 C,-,-1,100,2.517111,-251.7111,5.27,-527,-275.2889,
Open Positions,Data,Lot,Equity and Index Options,USD,CHTR 14FEB25 355 C,"2025-02-05, 10:20:33",-1,,2.517111,-251.7111,5.27,-527,-275.2889,ST
Open Positions,Data,Summary,Equity and Index Options,USD,CHTR 28FEB25 345 P,-,1,100,9.62278223,962.278223,2.7319,273.19,-689.088223,
Open Positions,Data,Lot,Equity and Index Options,USD,CHTR 28FEB25 345 P,"2025-01-27, 10:21:13",1,,9.62278223,962.278223,2.7319,273.19,-689.088223,ST
Open Positions,Data,Summary,Equity and Index Options,USD,CLX 21FEB25 130 P,-,-3,100,0.169713023,-50.913907,0.005,-1.5,49.413907,
Open Positions,Data,Lot,Equity and Index Options,USD,CLX 21FEB25 130 P,"2025-01-22, 09:30:03",-1,,0.15846221,-15.846221,0.005,-0.5,15.346221,ST
Open Positions,Data,Lot,Equity and Index Options,USD,CLX 21FEB25 130 P,"2025-01-21, 09:30:02",-1,,0.14936282,-14.936282,0.005,-0.5,14.436282,ST
Open Positions,Data,Lot,Equity and Index Options,USD,CLX 21FEB25 130 P,"2025-01-17, 15:01:00",-1,,0.20131404,-20.131404,0.005,-0.5,19.631404,ST
Open Positions,Data,Summary,Equity and Index Options,USD,CMCSA 14FEB25 35 C,-,-6,100,0.083914637,-50.348782,0.39,-234,-183.651218,
Open Positions,Data,Lot,Equity and Index Options,USD,CMCSA 14FEB25 35 C,"2025-02-05, 09:30:11",-6,,0.083914637,-50.348782,0.39,-234,-183.651218,ST
Open Positions,Data,Summary,Equity and Index Options,USD,CMCSA 28FEB25 35 P,-,6,100,0.304962225,182.977335,0.35,210,27.022665,
Open Positions,Data,Lot,Equity and Index Options,USD,CMCSA 28FEB25 35 P,"2025-01-27, 09:34:29",6,,0.304962225,182.977335,0.35,210,27.022665,ST
Open Positions,Data,Summary,Equity and Index Options,USD,COST 21FEB25 820 P,-,-3,100,0.830222247,-249.066674,0.0001,-0.03,249.036674,
Open Positions,Data,Lot,Equity and Index Options,USD,COST 21FEB25 820 P,"2025-01-22, 09:30:01",-1,,0.60844858,-60.844858,0.0001,-0.01,60.834858,ST
Open Positions,Data,Lot,Equity and Index Options,USD,COST 21FEB25 820 P,"2025-01-21, 09:30:02",-1,,0.8684407,-86.84407,0.0001,-0.01,86.83407,ST
Open Positions,Data,Lot,Equity and Index Options,USD,COST 21FEB25 820 P,"2025-01-17, 15:01:00",-1,,1.01377746,-101.377746,0.0001,-0.01,101.367746,ST
Open Positions,Data,Summary,Equity and Index Options,USD,CRWD 07MAR25 280 P,-,-1,100,0.92116418,-92.116418,0.0285,-2.85,89.266418,
Open Positions,Data,Lot,Equity and Index Options,USD,CRWD 07MAR25 280 P,"2025-02-03, 09:30:21",-1,,0.92116418,-92.116418,0.0285,-2.85,89.266418,ST
Open Positions,Data,Summary,Equity and Index Options,USD,CTRA 28FEB25 24 P,-,-5,100,0.170914874,-85.457437,0.0634,-31.7,53.757437,
Open Positions,Data,Lot,Equity and Index Options,USD,CTRA 28FEB25 24 P,"2025-01-27, 15:50:12",-5,,0.170914874,-85.457437,0.0634,-31.7,53.757437,ST
Open Positions,Data,Summary,Equity and Index Options,USD,DECK 14FEB25 180 C,-,-1,100,0.84934161,-84.934161,0,0,84.934161,
Open Positions,Data,Lot,Equity and Index Options,USD,DECK 14FEB25 180 C,"2025-02-05, 09:30:02",-1,,0.84934161,-84.934161,0,0,84.934161,ST
Open Positions,Data,Summary,Equity and Index Options,USD,DECK 07MAR25 210 P,-,1,100,9.31150223,931.150223,54.93,5493,4561.849777,
Open Positions,Data,Lot,Equity and Index Options,USD,DECK 07MAR25 210 P,"2025-01-29, 09:30:01",1,,9.31150223,931.150223,54.93,5493,4561.849777,ST
Open Positions,Data,Summary,Equity and Index Options,USD,DELL 14FEB25 109 C,-,-1,100,1.1984307,-119.84307,5.38,-538,-418.15693,
Open Positions,Data,Lot,Equity and Index Options,USD,DELL 14FEB25 109 C,"2025-02-05, 09:30:01",-1,,1.1984307,-119.84307,5.38,-538,-418.15693,ST
Open Positions,Data,Summary,Equity and Index Options,USD,DELL 07MAR25 95 P,-,1,100,4.24150222,424.150222,1.1945,119.45,-304.700222,
Open Positions,Data,Lot,Equity and Index Options,USD,DELL 07MAR25 95 P,"2025-01-29, 09:33:36",1,,4.24150222,424.150222,1.1945,119.45,-304.700222,ST
Open Positions,Data,Summary,Equity and Index Options,USD,DFS 07MAR25 165 P,-,-1,100,1.04933555,-104.933555,1.6176,-161.76,-56.826445,
Open Positions,Data,Lot,Equity and Index Options,USD,DFS 07MAR25 165 P,"2025-02-03, 09:30:03",-1,,1.04933555,-104.933555,1.6176,-161.76,-56.826445,ST
Open Positions,Data,Summary,Equity and Index Options,USD,DLTR 14FEB25 81 C,-,-1,100,0.53842345,-53.842345,0,0,53.842345,
Open Positions,Data,Lot,Equity and Index Options,USD,DLTR 14FEB25 81 C,"2025-02-05, 09:30:03",-1,,0.53842345,-53.842345,0,0,53.842345,ST
Open Positions,Data,Summary,Equity and Index Options,USD,DLTR 28FEB25 70 P,-,1,100,1.88616122,188.616122,1.62,162,-26.616122,
Open Positions,Data,Lot,Equity and Index Options,USD,DLTR 28FEB25 70 P,"2025-01-27, 10:42:44",1,,1.88616122,188.616122,1.62,162,-26.616122,ST
Open Positions,Data,Summary,Equity and Index Options,USD,DPZ 28FEB25 365 P,-,-1,100,1.66986176,-166.986176,0.901,-90.1,76.886176,
Open Positions,Data,Lot,Equity and Index Options,USD,DPZ 28FEB25 365 P,"2025-01-24, 15:03:40",-1,,1.66986176,-166.986176,0.901,-90.1,76.886176,ST
